tick,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,pressure_pa,temperature_c,latitude,longitude,gps_altitude,unix_time,milliseconds,satellites,baro_altitude,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,quat_w,quat_x,quat_y,quat_z,p_diag_0,p_diag_1,p_diag_2,p_diag_3,p_diag_4,p_diag_5,p_diag_6,p_diag_7,p_diag_8,flags,battery_v,state,relay,last_command
5672,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5682,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5692,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5702,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5712,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5722,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5732,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5742,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5752,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5762,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5772,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5782,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5792,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5802,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5812,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5822,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5832,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5842,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5852,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5862,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5872,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5882,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
